X,Y,Nom de l'�,Adresse,Code posta,Commune,D�partem,Type de st,Y,X,icon_url
5.395963,43.291114,> AP-HM - Centre Hospitalier Universitaire de la Conception,147 boulevard Baille,"13005",Marseille,(13) Bouches-du-Rhône,Centre Hospitalier Régional Universitaire,43.291114000000000,5.395963000000000,./0.png
5.402779,43.290858,> AP-HM - Centre Hospitalier Universitaire de la Timone,264 avenue Saint-Pierre,"13385",Marseille,(13) Bouches-du-Rhône,Centre Hospitalier Régional Universitaire,43.290858000000000,5.402779000000000,./0.png
5.363002,43.378909,> AP-HM - Centre Hospitalier Universitaire Nord,Chemin des Bourrely,"13915",MARSEILLE,(13) Bouches-du-Rhône,Centre Hospitalier Régional Universitaire,43.378909000000000,5.363002000000000,./0.png
5.409908,43.313786,> Centre de radiothérapie Beauregard,12 impasse du Lido,"13012",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.313786000000000,5.409908000000000,./0.png
5.426474,43.248907,> Centre de radiothérapie Clairval,317 boulevard du Redon,"13009",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.248907000000003,5.426474000000000,./0.png
5.443205,43.535279,> Centre de radiothérapie du Pays d'Aix,Avenue Henri Pontier,"13100",AIX-EN-PROVENCE,(13) Bouches-du-Rhône,Etablissement privé,43.535279000000003,5.443205000000000,./0.png
4.634171,43.657256,> Centre Hospitalier d'Arles Joseph Imbert,Quartier Fourchon - BP 80195,"13637",ARLES CEDEX,(13) Bouches-du-Rhône,Centre Hospitalier,43.657255999999997,4.634171000000000,./0.png
5.563336,43.291695,> Centre Hospitalier d'Aubagne - Edmond Garcin,179 avenue des Soeurs Gastine,"13400",AUBAGNE,(13) Bouches-du-Rhône,Centre Hospitalier,43.291694999999997,5.563336000000000,./0.png
5.039385,43.412916,> Centre Hospitalier de Martigues Les Rayettes,3 boulevard des Rayettes - BP 248,"13698",MARTIGUES CEDEX,(13) Bouches-du-Rhône,Centre Hospitalier,43.412916000000003,5.039385000000000,./0.png
5.441564,43.53536,> Centre Hospitalier du Pays d'Aix - Centre Hospitalier Intercommunal Aix-Pertuis,Avenue des Tamaris,"13616",AIX-EN-PROVENCE CEDEX,(13) Bouches-du-Rhône,Centre Hospitalier,43.535359999999997,5.441564000000000,./0.png
5.434832,43.534863,> Clinique Axium,21 avenue Alfred Capus,"13097",AIX-EN-PROVENCE CEDEX 2,(13) Bouches-du-Rhône,Etablissement privé,43.534863000000001,5.434832000000000,./0.png
5.380029,43.282861,> Clinique Bouchard (Groupe Elsan),77 avenue du Docteur Escat - BP 169,"13253",MARSEILLE CEDEX 06,(13) Bouches-du-Rhône,Etablissement privé,43.282860999999997,5.380029000000000,./0.png
5.459288,43.317861,> Clinique Chantecler,240-244 avenue des Poilus,"13012",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.317861000000001,5.459288000000000,./0.png
5.052595,43.401177,> Clinique Chirurgicale de Martigues,9 rue Edouard Amavet - BP 10035,"13961",MARTIGUES CEDEX,(13) Bouches-du-Rhône,Etablissement privé,43.401176999999997,5.052595000000000,./0.png
5.382504,43.249239,> Clinique de Bonneveine,89 boulevard du Sablier,"13008",Marseille,(13) Bouches-du-Rhône,ESPIC hors CLCC,43.249239000000003,5.382504000000000,./0.png
5.271324,43.426433,> Clinique de Vitrolles,"La Tuillère II, Rue Bel Air - BP 50016","13741",VITROLLES CEDEX,(13) Bouches-du-Rhône,Etablissement privé,43.426433000000003,5.271324000000000,./0.png
5.214515,43.409477,> Clinique générale de Marignane,Avenue du Général Raoul Salan - BP 89,"13721",MARIGNANE CEDEX,(13) Bouches-du-Rhône,Etablissement privé,43.409477000000003,5.214515000000000,./0.png
4.639766,43.676852,"> Clinique Jeanne d'Arc, Arles",7 rue Nicolas Saboly - BP 194,"13637",ARLES CEDEX,(13) Bouches-du-Rhône,Etablissement privé,43.676851999999997,4.639766000000000,./0.png
