X,Y,id,address_fo,address_ty,lat,lng,Nom de MSP,icon_url
6.5137,43.8462419,"0","04120 Castellane, France","CHEMIN, DE LA RECLUSE, 4, ALPES DE HAUTE PROVENCE, 04120 CASTELLANE",43.846241900000003,6.513700000000000,MSP CASTELLANE,./0.png
5.7640588,43.7860484,"1","4 Av. de la République, 04220 Sainte-Tulle, France","AVENUE, DE LA REPUBLIQUE, 4, ALPES DE HAUTE PROVENCE, 04220 STE TULLE",43.786048399999999,5.764058800000000,MSP DE SAINTE TULLE,./0.png
6.3567314,44.3507011,"2","Rue du Barri, 04140 Seyne, France","RUE, DU BARRI, 4, ALPES DE HAUTE PROVENCE, 04140 SEYNE LES ALPES",44.350701100000002,6.356731400000000,MSP DE SEYNE,./0.png
6.2387354,44.0903733,"3","Immeuble La Source, 3 Rue du Trelus, 04000 Digne-les-Bains, France","3, RUE, DU TRELUS, 4, ALPES DE HAUTE PROVENCE, 04000 DIGNE LES BAINS",44.090373300000003,6.238735400000000,MSP DE DIGNE LES BAINS,./0.png
5.94166,44.1953002,"4","46 Av. Jean Moulin, 04200 Sisteron, France","46, AVENUE, JEAN MOULIN, 4, ALPES DE HAUTE PROVENCE, 04200 SISTERON",44.195300199999998,5.941660000000000,MSP DE SISTERON,./0.png
6.650463,44.3863,"5","04400 Barcelonnette, France","2, AVENUE, DE MÃ‰NIL SUR BELVITTE, 4, ALPES DE HAUTE PROVENCE, 04400 BARCELONNETTE",44.386299999999999,6.650463000000000,MSP DE BARCELONNETTE,./0.png
6.0136074,44.1118469,"6","34 Rue Latil Mathieu, 04290 Volonne, France","34, RUE, LATIL MATHIEU, 4, ALPES DE HAUTE PROVENCE, 04290 VOLONNE",44.111846900000003,6.013607400000000,MSP DE VOLONNE,./0.png
5.780712,43.959933,"7","04300 Forcalquier, France","PLACE, DE VERDUN, 4, ALPES DE HAUTE PROVENCE, 04300 FORCALQUIER",43.959932999999999,5.780712000000000,MSP DU PAYS DE FORCALQUIER,./0.png
5.8858486,43.7579787,"8","4 Av. Pierre Brossolette, 04800 Gréoux-les-Bains, France","AVENUE, PIERRE BROSSOLETTE, 4, ALPES DE HAUTE PROVENCE, 04800 GREOUX LES BAINS",43.757978700000002,5.885848600000000,MSP DE GREOUX LES BAINS,./0.png
6.0899186,43.8201483,"9","Rue de l'Auvestre, 04500 Riez, France","TRAVERSE, DE L AUVESTRE, 4, ALPES DE HAUTE PROVENCE, 04500 RIEZ",43.820148300000000,6.089918600000000,MSP DE RIEZ,./0.png
5.7997969,43.8230952,"10","260 Av. Blaise Pascal, 04100 Manosque, France","260, AVENUE, BLAISE PASCAL, 4, ALPES DE HAUTE PROVENCE, 04100 MANOSQUE",43.823095199999997,5.799796900000000,MSP LA VISTA 04 SUD,./0.png
5.591118,43.855947,"11","4 Rue du Bicentenaire, 04280 Céreste, France","2, RUE, DU BICENTENAIRE, 4, ALPES DE HAUTE PROVENCE, 04280 CERESTE",43.855947000000000,5.591118000000000,MSP DE CERESTE,./0.png
